,target
8663,1
3372,1
3311,1
5867,0
6098,1
7669,0
6551,1
4679,0
3403,1
18,0
3691,1
7396,1
4096,1
3628,0
7747,1
2174,0
1356,1
5002,0
5939,1
8548,0
3112,0
182,0
7644,1
7740,1
1812,1
6330,1
6992,1
4912,1
7191,1
1800,1
2429,1
5482,1
7558,0
6032,1
1968,1
6829,1
6535,1
6057,1
4987,0
8777,1
4650,0
1159,0
1213,1
5900,1
1325,0
6033,0
7529,0
4796,1
1455,0
5410,0
5741,0
6968,0
4962,0
7490,0
1644,0
2140,0
4536,1
4457,0
7907,0
5586,0
4378,1
729,0
4357,0
8274,0
1936,1
3793,0
3736,0
2261,1
6994,0
1110,0
7952,0
5480,1
2998,1
2394,1
1185,1
2007,0
193,0
5611,1
7819,0
578,0
5525,0
771,1
2395,0
1478,0
1846,1
8180,0
4274,0
3740,0
4600,0
8670,1
6522,0
4915,1
2073,1
4754,0
1896,0
7210,1
3659,1
2379,1
1447,1
342,1
5127,0
3136,1
2527,1
727,0
4577,1
976,0
6913,1
8052,0
3516,0
7760,1
8806,0
3940,0
1299,0
8785,1
1348,0
660,1
1492,0
6604,0
6822,1
7838,0
5154,0
2315,1
8648,1
8615,0
1085,0
2524,1
7072,0
5374,1
3198,0
7591,1
8681,0
67,1
7778,1
2269,1
6921,1
5903,1
7709,0
8153,0
5322,1
3447,0
2367,0
5820,0
6556,0
2512,1
2723,1
8253,0
7247,1
1143,1
8758,1
5813,0
8260,0
8287,0
4728,1
5494,1
7534,0
3789,1
2220,1
5075,0
2331,1
5394,0
5973,0
6481,0
8397,1
4088,1
1967,0
7971,1
7654,1
8623,0
4365,1
423,1
280,0
1904,0
595,0
7250,1
3917,1
5661,0
3618,1
839,0
4596,0
6022,1
141,1
8076,0
1377,1
3674,1
7611,0
8903,1
4741,1
3808,0
1138,1
2257,1
6325,0
1787,0
3938,0
6350,1
4646,0
459,0
8583,1
948,1
3700,1
1336,0
4628,1
7791,0
1602,0
2238,0
639,0
8836,0
3830,1
8452,0
6417,1
8860,0
1958,1
1070,0
155,0
2295,1
6252,1
4578,0
1089,0
2940,1
723,1
4384,0
930,0
2909,1
6309,1
895,0
3247,0
2326,0
7495,0
6846,0
7180,1
5038,1
4136,1
8314,1
1715,0
1698,1
8720,0
8590,1
8973,1
6632,0
3831,0
3348,1
8563,1
985,0
1821,1
4571,0
587,0
8778,0
5077,1
6538,0
6807,1
8567,1
8969,1
5483,0
6227,1
8326,0
5514,1
7764,1
5553,1
3557,0
1395,0
264,0
3547,1
6134,0
3069,0
5025,0
6923,0
3864,0
8119,1
2400,0
7084,0
3711,0
246,0
1594,0
1529,0
6631,0
923,0
6068,1
4364,0
669,1
3604,1
5108,0
1910,1
6835,0
5248,1
3958,1
5643,1
2696,1
2591,0
1781,0
3013,0
2307,0
8712,0
3690,1
687,0
612,1
6145,1
3200,1
2267,1
8813,1
7442,0
1898,0
8574,0
6207,1
258,1
2924,0
4943,0
2822,1
3339,1
3525,0
4563,0
5329,0
5223,0
2285,0
4654,1
7826,0
484,0
2211,1
5416,0
7055,0
2555,1
7,1
3657,0
8236,1
4874,0
4402,0
5546,1
8380,1
2426,0
1814,0
8658,1
2274,0
1011,1
6641,1
1067,1
1991,1
3970,0
8455,1
5879,1
6973,1
4542,0
8387,1
3867,1
8471,1
3048,1
781,0
2675,0
1749,1
2791,0
5774,1
4979,0
1091,0
6773,0
4627,0
2324,1
8262,0
5055,0
2608,1
8020,0
2290,0
1727,1
610,0
4666,0
7725,0
343,1
6854,1
7631,1
3750,0
7016,0
8371,0
3215,1
97,1
6357,0
5176,0
1537,0
3588,1
5958,0
3648,1
7788,1
6069,1
1517,1
5061,1
8409,0
4624,1
4272,0
3669,0
5800,1
2090,0
572,1
8599,1
8421,1
8121,0
3062,0
6217,0
7093,1
6372,1
6349,0
6569,1
4479,1
4948,0
370,0
1938,1
6935,1
1753,0
3670,1
3652,0
5201,0
2361,0
4260,1
5432,1
4991,1
6112,1
8510,0
3737,1
6039,1
6762,1
8558,0
5591,0
1171,1
6384,1
1422,0
8495,1
8410,0
7257,1
8235,1
874,0
2297,1
2643,0
7149,0
1719,0
5347,0
5932,1
840,0
8942,0
581,0
204,0
1641,1
2014,1
3253,1
6056,0
905,0
631,1
7843,0
6290,0
1974,1
162,1
4998,1
6692,0
8499,0
6242,1
4713,0
875,1
1431,1
4643,1
5080,0
5783,1
8212,0
6125,0
6461,0
6237,1
8489,0
2856,0
1861,1
2659,1
3384,1
8604,1
8795,0
6497,1
6837,0
4733,1
3331,0
7999,1
7365,1
6836,0
2096,1
2003,0
7589,1
6666,0
5017,1
546,1
1449,0
6800,0
2610,1
1900,1
7706,1
2757,0
1885,0
8839,1
5738,0
8494,0
5890,0
2097,0
8353,1
5692,0
499,0
5624,1
836,1
3471,0
4697,1
7785,0
2171,0
8298,0
5678,1
8252,0
398,0
2010,0
5166,0
5871,1
8810,1
1283,1
6912,0
7161,1
4256,0
1836,0
8111,0
1019,1
7088,1
1326,0
6079,1
475,0
2810,0
7354,0
1651,1
8645,0
1169,1
2528,1
1206,0
6373,1
5469,1
8442,0
7532,1
8697,0
867,1
2974,1
5236,0
5093,1
5433,0
541,0
5195,0
1132,1
8853,0
7717,1
8394,0
3390,0
7050,1
2962,0
4155,1
3259,1
6034,0
6365,1
8941,1
2583,1
2813,1
7592,0
2947,0
5174,1
6751,0
3586,0
8295,1
8983,1
2563,1
2630,1
7834,1
6253,1
5036,1
1080,0
4283,1
6427,1
2085,0
2452,0
4966,0
2023,0
6483,0
7968,0
7520,1
226,1
1013,0
1929,1
7118,0
5251,0
1404,1
2179,0
697,0
1124,1
3895,1
6618,0
5110,0
1778,0
6260,1
2634,1
3489,0
6684,0
1037,0
6093,0
2256,1
6572,1
2613,0
313,1
2649,1
2281,0
7024,1
2547,0
5512,1
5132,0
2159,1
3137,0
8131,1
5850,1
3967,0
1428,0
6961,0
2520,1
6712,1
7090,0
7243,0
7358,0
5602,0
8879,0
448,0
6193,1
1284,0
5995,1
3727,1
361,1
5230,1
7885,1
7800,0
5926,0
5149,0
2460,1
22,0
2066,0
1653,0
702,0
7530,1
2743,1
1376,0
8324,1
2468,1
3754,0
2325,1
460,1
5163,1
4183,1
8032,1
4082,1
1486,0
3678,1
282,1
4558,0
4308,0
4865,0
3537,0
6894,0
2581,1
1368,0
8517,1
6587,0
597,0
4351,0
7951,1
4758,1
646,0
8726,1
6023,0
8925,1
3468,0
8342,1
2990,1
8463,0
4875,0
2544,1
7279,1
5341,0
7175,0
4066,1
3988,1
2160,0
685,1
6258,0
3243,1
7048,0
6561,1
7573,1
4083,0
2837,1
3697,1
4941,0
5946,0
4583,1
5784,1
4040,0
2230,0
7150,1
2320,1
4878,0
521,1
522,0
5345,1
7639,0
7874,1
7870,1
7387,1
780,0
7652,0
6647,0
5607,0
5978,1
651,1
7305,0
2196,1
6954,0
369,0
6433,0
4214,1
377,1
7049,0
2216,0
7453,1
1613,0
1827,1
3632,0
962,0
2993,1
8702,0
8086,0
6648,1
359,0
3839,0
6568,1
1246,1
6839,0
5087,1
3694,1
1573,0
6281,0
7181,0
2567,1
3423,1
2037,0
772,1
5380,0
8606,0
3562,0
562,1
2546,0
5510,1
5330,0
6500,1
4531,1
1674,1
365,0
6444,0
7888,1
4327,1
147,0
1668,1
3088,0
7719,0
407,1
8621,1
3456,1
6186,1
4182,0
3576,0
3271,0
4940,1
1031,0
6424,0
7905,0
8827,0
855,0
3926,1
78,0
2247,0
7255,1
8953,0
8609,0
7571,1
6745,0
788,0
2279,1
4095,0
3897,1
6388,1
8126,1
8501,0
3631,0
7333,1
6272,1
424,1
392,0
7469,1
16,0
7321,1
4200,0
2672,0
2444,0
7011,1
6630,0
3493,0
6044,0
1459,1
7075,1
7143,0
6625,0
6512,0
3835,0
8377,0
5683,1
8877,0
5827,1
8770,0
4724,0
7596,0
5887,0
2355,0
6036,1
4798,0
2442,0
6636,1
4592,1
7613,1
464,1
163,0
8327,0
8486,1
8312,1
8796,0
241,0
2009,1
6356,1
3084,0
6208,1
900,1
5542,1
7487,1
7656,1
4837,0
2293,0
8192,1
4481,1
5302,1
4605,0
3716,1
8118,0
6140,0
1764,0
1549,1
3029,1
7395,0
6298,0
2044,0
767,1
5693,0
1508,1
3302,1
4517,1
4219,0
8625,1
6421,0
3292,1
819,1
1403,1
1382,1
2148,0
5671,0
1638,1
5891,1
608,0
399,1
6406,0
882,0
3565,1
4285,1
1179,0
5448,1
4244,0
5218,0
6691,0
2130,1
5078,1
456,1
7443,1
5175,1
1950,0
5372,1
689,0
7733,0
8837,0
1953,0
5636,1
6963,0
2710,0
7233,1
7271,1
4349,0
4138,1
1884,1
7372,1
4485,0
2494,0
6989,0
3036,0
5777,0
3603,0
845,1
542,1
3724,0
4187,0
3679,0
7918,0
6075,0
6633,0
8000,0
6734,1
2964,1
2529,0
5772,1
1048,1
1960,0
2530,1
7212,0
237,0
4917,0
6479,0
1133,1
5901,0
8090,0
4259,0
8431,1
8979,0
8512,1
7359,1
5656,1
7549,1
8524,0
5907,0
2978,1
7745,0
5524,1
7527,0
6621,0
7302,0
3919,0
3138,1
8472,0
5789,1
4073,0
3287,0
3229,1
1826,0
5548,0
593,1
2725,0
4137,1
560,1
7663,1
6903,0
243,1
5435,1
4437,1
6802,0
405,1
1442,0
261,0
6579,0
8577,0
1689,1
1725,1
7980,0
4930,1
5962,1
2496,1
6106,1
6595,0
340,0
6841,0
1601,1
6859,1
5782,0
4576,0
3725,1
2556,0
2785,0
1523,0
8051,0
2831,0
1012,0
6908,1
7912,0
1766,1
4551,1
6549,1
4037,0
6705,0
8968,0
7937,1
8682,0
363,1
5367,0
8949,1
8169,0
8502,1
4725,0
4443,1
7801,0
8622,0
2562,0
6857,0
8638,1
5519,0
8647,0
3083,0
2959,0
2102,0
632,0
2493,1
2665,0
7197,1
4406,0
7198,1
7757,1
2334,1
7508,0
3619,1
5561,0
3883,0
6659,1
4211,0
8551,0
1494,1
2401,0
3874,0
1232,0
2661,0
2817,1
6699,0
2774,0
8831,0
7768,1
4153,0
7301,0
3061,0
66,0
8950,0
1735,0
2823,0
6292,1
7466,0
6730,1
2475,1
2564,0
8984,0
3713,0
8325,1
707,1
3046,1
8259,1
5189,1
7474,0
5472,0
72,1
6018,1
4448,1
5860,1
4839,0
4131,1
5101,1
1190,0
6431,0
2601,1
1125,0
1241,1
7579,0
3602,1
8070,1
7349,1
3351,0
5094,0
6602,1
4008,0
1577,1
3906,1
3729,0
4358,0
5922,0
1343,1
8988,1
7448,1
440,0
1100,1
2637,1
6920,1
649,1
1546,0
8083,1
7473,1
2852,0
3503,1
7066,0
630,0
4768,1
1249,0
7437,0
482,0
1584,0
4676,1
6385,0
1462,0
3040,1
5010,1
7535,0
3273,1
3683,1
4145,0
8760,1
6918,1
4954,0
3225,0
1072,1
4815,0
8887,0
2631,1
1660,1
5752,1
2425,1
5079,1
8219,0
5902,0
7444,0
3097,1
3976,1
1243,0
1300,0
6284,0
6977,1
5481,1
7754,1
5495,0
5291,0
1408,0
1845,0
1798,1
3957,0
1475,1
7100,0
35,0
7452,0
6441,0
444,0
2359,1
3654,0
6302,1
7685,1
3179,1
1286,0
7281,1
4445,0
3416,1
2137,1
2636,1
4016,0
4097,0
1681,1
8773,1
7597,0
5767,1
6792,0
5275,1
1692,1
7235,1
7794,1
3635,1
372,1
7524,0
6012,1
5453,0
5921,1
4882,0
4565,0
140,1
4884,1
4419,0
8978,1
8039,1
714,1
5923,0
6542,0
5243,1
3188,1
8425,1
4431,0
8943,1
406,0
20,1
1004,1
6890,1
4986,0
2411,1
2545,1
8695,1
2390,0
7861,1
42,0
2830,0
5859,0
3371,0
3022,1
3364,0
4399,1
5252,1
11,0
4760,0
1177,0
6772,0
1947,0
2501,1
8344,0
2863,1
7432,1
3865,0
6228,1
1026,1
3848,0
2989,1
961,1
2889,1
3015,1
3338,1
6105,1
6245,1
7217,1
6434,1
6934,1
735,1
4400,1
1440,1
8769,1
8581,0
2875,0
3986,1
916,1
8199,0
7636,0
4089,1
8624,1
7645,0
2772,0
1624,1
7756,0
821,1
1367,0
3712,1
8865,1
1388,0
850,0
1000,0
8841,1
7463,1
4114,1
1637,1
1667,0
4589,0
3173,1
8705,1
1347,1
7642,0
3230,0
8124,0
8894,0
7528,0
4783,0
7647,1
3232,0
5704,0
8591,0
703,0
5105,1
7802,0
3291,0
3673,1
2408,1
8618,1
1327,1
8664,0
5773,0
6095,1
5406,0
8021,0
6083,1
4909,0
4440,0
8801,0
986,1
7770,1
3952,1
8302,0
8099,0
4049,0
6257,0
3485,1
6089,1
2474,0
5238,1
6454,0
3873,0
1198,1
4181,0
1518,0
8115,0
5477,1
6812,0
1799,1
1014,1
128,1
1364,1
7537,0
4470,1
891,1
2793,0
1969,1
5455,1
4403,1
5757,0
6527,1
6294,0
3923,0
5413,1
8291,1
3249,0
6570,0
6638,0
8242,0
1208,0
3868,0
8497,1
4065,0
8272,0
7431,0
1239,1
2289,1
2740,1
275,1
4585,1
1035,1
1229,1
6834,1
1008,1
7976,0
5178,0
3828,1
2532,0
4293,0
1058,1
6262,0
7276,0
281,1
1043,0
1316,0
6654,0
968,0
2381,0
7808,1
1939,0
7045,0
1274,0
619,1
7120,0
1742,0
1390,1
7969,1
5943,0
1579,0
1655,0
3568,0
2352,1
2212,1
6116,1
8972,0
6052,0
3178,1
3192,1
1307,1
6099,0
575,0
2360,0
6656,0
5802,0
7707,1
7379,0
1280,1
7963,1
4957,1
8094,1
5897,1
5724,0
1993,1
2639,1
269,0
629,1
7264,1
3081,0
3466,1
6430,0
8375,1
4396,0
4023,1
8751,1
5543,0
5568,1
2046,1
4356,1
7682,0
2113,0
27,1
2040,0
3928,0
2938,0
3216,0
4933,1
3814,0
129,1
7268,1
6104,0
2278,0
4599,0
13,0
8292,1
4476,0
8191,0
1525,1
2365,0
4648,0
3052,0
4005,1
6980,0
2340,1
374,1
7146,1
6477,0
525,0
939,0
3369,1
5718,1
4573,0
6895,0
2147,0
3591,1
7736,1
8553,0
2958,1
6164,1
3623,0
529,0
3714,1
7646,0
4732,0
1269,1
4281,0
1394,0
4850,0
4009,1
4390,1
1797,0
2979,1
1441,0
8187,1
2625,0
3811,0
5631,1
8336,0
1273,0
8025,1
4703,1
1712,0
8776,0
955,1
6675,0
7262,1
7818,0
8434,0
8605,1
7600,0
403,0
2071,1
8762,0
1977,1
158,0
5844,1
7005,1
3888,1
5451,0
902,1
352,1
5326,0
6078,0
6236,0
4540,0
4130,1
754,0
5833,1
2971,1
1082,0
2920,0
311,1
4644,1
661,0
7057,1
1989,1
3665,0
306,1
2335,1
4790,1
2356,1
3702,0
3804,0
1927,0
8906,1
3427,1
749,0
3638,1
7132,1
1266,1
7173,1
7441,1
2956,1
3595,1
2134,0
5066,1
4109,1
4969,1
4904,1
514,0
894,1
409,1
7398,1
8980,1
3461,1
899,0
207,1
7964,0
458,0
2054,0
2430,1
250,0
8263,0
5437,1
1107,0
7944,1
5979,1
1713,1
3911,1
7879,1
715,0
552,1
1439,1
2270,1
3144,1
6917,1
2056,0
1925,0
634,0
6082,1
316,1
8334,1
8708,1
5424,0
427,1
7277,0
105,1
3041,0
4238,1
2169,1
1709,0
89,1
7014,1
2241,1
3174,0
7318,1
6259,0
6732,1
1949,1
4044,1
8859,0
2848,0
6368,0
1,0
6139,1
4337,1
6047,1
935,0
713,1
2720,1
8956,0
5205,1
7501,0
591,0
8828,1
7356,0
2936,0
8513,1
2448,0
1576,0
7876,0
8168,0
213,1
778,0
5511,1
3496,1
7677,0
2043,0
8759,1
8550,0
5420,1
6154,1
1567,1
165,1
4702,1
3566,1
7497,1
8764,1
5439,1
2013,0
273,1
3860,0
4167,0
7809,0
3788,1
5183,1
394,1
583,1
8918,0
8986,0
116,0
6644,0
8040,0
6869,0
8954,0
8937,1
7921,1
520,0
1763,0
1875,1
5355,1
3965,0
3344,0
6598,0
2253,0
6877,0
3224,0
526,0
8108,1
2946,0
4473,1
3899,0
5655,0
692,0
6059,1
959,1
4444,0
8480,0
6342,1
6131,0
3633,1
5805,1
1050,0
590,0
519,1
3380,1
3676,1
5776,1
8062,0
6573,0
5179,0
1607,1
3610,0
8779,0
6635,0
8997,1
1809,1
791,1
792,1
8045,1
1855,0
1980,0
3233,1
3598,1
933,0
3963,1
7290,0
5626,1
5506,0
6072,0
1682,0
4179,0
4026,0
8443,0
6446,0
4116,0
988,0
7553,0
8261,1
3453,0
2896,0
3778,0
5658,1
8202,0
3093,1
3155,0
5069,0
5806,0
3201,1
7902,0
8656,0
1098,1
8129,1
2844,1
886,1
3342,0
7593,0
6540,1
8408,0
6096,0
515,1
3356,1
4833,1
1453,1
3553,1
3609,0
8934,1
4665,1
2506,1
2994,0
3999,1
6222,1
8740,0
8905,0
906,0
28,0
8294,1
2507,1
2428,1
5043,0
5346,0
762,1
3747,1
4811,0
284,1
686,0
4799,0
2353,0
6353,0
7873,0
4569,1
21,1
2752,0
885,1
8378,1
917,1
7675,0
1040,1
6335,1
7763,1
1265,0
4579,1
8331,1
7059,1
8659,1
277,0
5084,1
2084,0
1245,0
2382,1
571,1
1435,1
3902,1
5089,0
1247,0
7353,1
4681,0
3526,1
6557,1
2514,0
5445,0
1007,1
4770,1
6508,0
6999,1
4543,0
7381,1
7676,0
4455,1
2064,0
5352,1
7728,1
1690,1
3117,0
8554,1
5343,0
1985,1
294,0
1547,1
2012,0
588,1
3329,1
2403,0
2129,1
3998,1
1574,1
3741,1
3508,1
8289,0
2719,1
4521,1
6678,0
5150,1
2808,1
8576,0
556,0
6276,1
7859,1
4795,0
2469,1
3738,1
4286,0
8054,0
5289,1
1716,1
2604,0
8069,0
6924,0
1704,1
6959,0
6714,0
6496,1
2139,0
3239,1
2383,0
7314,0
4311,0
1285,0
1312,1
7759,0
1996,1
3930,1
6183,1
5985,0
7416,1
1591,0
8709,0
8446,1
2162,1
2396,0
317,0
6367,0
8496,1
3111,0
5233,1
7816,0
5068,0
4036,1
795,1
3020,1
1711,0
3387,0
36,0
4549,0
913,1
5721,1
5295,0
3972,1
5370,0
6471,0
4133,0
974,0
7291,0
983,0
7825,1
7988,1
1418,1
8098,1
1560,1
4135,0
5582,1
8167,1
4265,1
1355,0
8370,0
5016,0
8754,1
987,1
2682,0
5047,0
1640,0
1290,1
3681,1
1380,1
1933,0
4675,1
2376,0
3160,0
2030,1
892,1
7287,0
4876,0
4069,1
4255,1
2,1
8104,0
8438,0
2109,1
849,0
2737,0
2466,0
1914,0
1596,1
5872,1
1913,1
5139,0
8724,0
5640,1
2736,0
726,0
7214,1
53,1
1796,0
3845,1
6007,0
6402,0
2553,0
2800,0
936,0
8067,1
824,0
4321,1
7274,1
3401,1
1389,0
3564,1
7410,1
884,1
5429,0
5703,0
5690,0
4867,0
6707,0
7773,1
6369,0
1868,0
5181,0
10,0
3415,1
5421,0
7486,1
1463,0
806,0
7979,0
8116,0
4068,0
2108,1
8225,0
2041,0
2234,0
7307,1
963,1
7511,1
7670,1
4494,1
2632,1
6094,0
7092,0
704,0
431,0
4388,1
6077,0
145,1
6467,0
2033,1
375,0
1165,1
3500,1
2050,1
3760,1
2624,1
4484,0
4435,1
7799,0
8926,0
7069,0
4361,0
2424,0
1262,1
1771,1
3511,0
271,0
4792,1
4843,0
244,0
8855,0
4572,1
2032,1
5053,0
7735,0
813,1
8694,1
6010,1
3810,0
5727,0
8962,0
7950,0
1804,0
8359,0
4346,0
2461,1
545,1
3241,1
738,1
310,1
3521,0
7037,0
1131,1
5545,0
492,0
4111,0
7328,0
2769,0
7564,0
920,1
8816,0
8194,0
3587,0
6640,0
3959,0
38,0
4459,1
7126,1
4278,0
7129,1
2983,1
5290,1
6948,0
130,0
5217,0
8927,1
2667,0
7138,0
3223,1
1182,1
5392,0
614,1
8910,0
1466,1
4497,1
3042,0
934,1
2419,0
5085,1
3294,0
6737,1
7938,1
4822,0
826,1
1521,1
6831,0
2930,1
4232,0
628,1
4430,0
3853,0
390,0
4345,0
8869,0
7124,1
5913,1
3990,0
400,0
4806,0
5135,1
7911,1
3359,0
46,0
5657,1
488,1
3993,0
3642,0
3726,1
8592,1
5208,0
6609,1
5319,1
709,1
7119,1
2421,1
5604,1
1750,0
8951,0
8014,0
4062,0
8744,1
338,1
215,1
3663,0
1341,1
8585,1
5616,1
3894,0
3640,0
329,1
7693,1
3004,1
6960,1
4090,0
3115,0
8840,0
2322,1
6667,0
7009,1
4197,0
3549,0
1458,1
171,0
4203,0
8374,1
3569,1
4226,1
5158,0
7982,0
6185,0
8059,0
938,1
60,0
1240,0
5760,1
5136,1
8174,0
6856,1
2120,1
1524,1
7617,1
153,0
6344,1
481,0
6122,0
4460,1
7674,0
7101,0
3920,1
7658,1
7411,0
1762,1
7634,1
7315,0
750,0
1785,0
8142,0
7479,0
6212,0
4501,0
4853,1
2711,1
6766,1
7914,0
4193,0
1333,1
1250,1
6887,1
2854,1
186,1
1136,1
8448,0
8735,0
2058,1
8197,1
3850,1
148,1
4124,1
4889,1
7930,1
3363,0
4788,0
2866,0
3776,0
1386,1
5941,1
3067,0
8092,0
5695,1
3629,0
8503,1
4797,0
7903,0
3028,0
2969,0
8351,0
1708,1
2953,1
454,1
6964,0
6136,1
8178,1
6411,1
609,1
4263,0
4826,0
645,0
7454,0
2074,0
4052,1
7959,0
1622,0
4683,0
5497,1
7141,1
7320,1
5796,1
7184,1
2081,1
7077,1
40,1
5475,1
2089,1
3924,1
2175,1
7313,0
8318,0
74,0
8337,0
3798,0
2657,1
3180,1
2076,0
441,0
8296,1
2051,0
2541,0
7402,1
1301,1
5877,1
7368,0
3430,1
1304,1
236,0
8793,0
2599,0
4616,1
2573,0
3280,0
3186,0
3953,1
2768,0
4831,0
4223,1
2106,0
2679,0
7325,0
2761,0
4688,0
5399,1
1387,1
2901,0
3577,0
7868,0
8689,1
7083,0
8830,0
7393,0
5000,0
5853,0
1279,0
8473,1
804,0
6404,1
1555,0
8532,1
3190,0
4566,1
4802,0
8699,0
7166,1
4841,0
3594,1
6035,1
6852,0
6958,1
1920,0
513,0
4177,1
6843,0
1308,1
5667,1
914,0
3452,0
3695,0
4242,0
3156,0
2198,0
7840,0
774,1
4425,0
6150,1
6097,1
943,0
822,0
6878,0
5005,0
6612,0
4277,0
164,1
5619,1
4547,1
3983,0
2538,0
6957,1
3191,0
1311,1
8396,1
5207,0
8559,1
7585,0
5383,1
8157,0
3675,1
7776,1
7218,0
6722,1
3300,1
3310,0
6904,0
7221,0
327,1
5886,0
2490,1
8718,1
6103,1
5954,1
8691,1
4408,1
832,0
3079,0
7516,1
3462,0
5297,1
1823,0
7643,0
54,1
6230,1
4064,0
3451,0
6305,0
1901,0
1481,0
4873,0
4895,1
7810,1
4150,0
7068,1
3335,0
6016,1
7811,1
4926,0
946,0
5797,0
3293,1
2161,0
8847,1
5083,0
6645,1
8234,1
3057,1
7342,0
5490,0
6733,0
768,0
2065,0
8546,0
3495,1
7311,0
285,0
1500,0
4524,1
8462,1
2332,0
2717,1
2079,1
3389,0
722,0
951,1
2482,0
2262,1
989,0
3212,1
1759,1
8031,1
4422,1
6704,1
5479,1
1724,0
5182,0
8482,1
341,1
3701,1
4243,1
688,1
3432,0
5203,1
4944,1
966,0
3120,0
8530,0
2203,0
2713,0
4757,1
5098,0
8417,0
8586,1
6320,1
5280,0
5975,0
3572,1
4805,0
5299,1
1990,1
4120,0
4759,0
8024,0
5298,1
8379,1
4971,0
954,1
5034,1
6783,0
3600,0
6490,1
8580,1
474,1
8063,1
385,1
7973,0
2122,0
1625,1
536,0
6387,0
8672,1
7970,1
5032,1
7833,0
4212,1
6456,0
3507,0
201,1
7304,1
1332,0
7112,1
3502,0
2708,1
6030,0
5031,1
6514,0
4662,1
4021,0
1854,1
8481,0
2872,0
3030,0
1205,0
6563,1
1645,1
3417,1
3476,1
8593,1
2861,0
1792,1
5526,1
6922,1
3797,1
3368,1
3367,0
3533,0
7196,0
8674,0
5109,0
6024,0
3449,0
7966,1
603,1
3056,0
8358,0
126,0
5959,1
3876,1
2935,0
7300,0
5443,0
7151,1
4451,0
7147,0
3531,0
2730,1
827,0
1639,0
7790,1
7136,0
984,0
3281,0
8971,1
7783,1
2188,0
2265,1
2443,1
362,0
2349,1
345,1
814,1
6166,1
4807,1
3205,0
8128,0
2919,1
5961,1
3325,1
4106,0
5779,1
2116,0
7450,1
1834,1
793,0
7459,0
1955,1
6898,0
2674,0
94,1
8123,0
4225,0
3756,1
2891,0
2371,0
8646,0
8100,0
7428,1
8447,1
3228,1
6158,1
7863,0
7091,1
6359,0
5996,0
8264,0
8467,1
7326,1
6028,0
2853,1
8633,1
2912,0
1865,0
5754,0
4612,1
7689,0
1857,0
2645,0
2243,0
5373,1
2336,1
950,1
7578,0
8400,1
3068,1
1120,1
7608,0
2597,1
2204,0
419,0
922,0
1254,1
477,1
2035,1
5408,0
5788,0
5742,0
7182,1
7667,0
5567,1
6697,1
8135,0
1202,1
6534,0
2626,1
5765,0
8817,1
1970,1
3110,0
4018,1
2151,1
3687,1
4916,1
1997,0
4033,0
4598,1
3054,1
1248,0
2192,1
2712,1
992,1
2190,0
4670,1
5142,1
5984,1
6565,1
7804,1
3762,0
6943,1
3597,1
4711,1
1318,0
1863,0
2343,0
2449,0
2136,1
1065,0
5868,0
600,1
4227,0
2621,1
7577,1
77,0
7546,1
2898,0
6148,0
7332,1
4820,1
1314,0
8366,1
5947,1
6413,0
8007,1
5468,0
5951,1
3391,0
5415,1
2560,0
8162,1
2635,1
5256,1
3530,1
1908,0
235,0
1604,0
7984,1
3490,0
1994,1
2824,1
8349,1
1342,1
1619,1
5287,0
2060,1
8957,0
2219,1
6038,1
260,0
8424,1
3744,0
2026,1
6988,0
4234,0
1917,0
1828,1
6233,0
8393,0
6283,1
4208,0
224,0
6469,0
8469,0
846,0
4289,1
5560,0
2551,0
117,0
5966,1
8195,1
7489,1
5,0
5342,0
4324,0
1063,0
2590,1
3735,0
3517,1
6986,0
6767,0
5622,0
1605,0
1733,1
8402,1
3812,0
8657,1
1761,1
5401,0
2739,1
2472,0
6738,1
6891,1
7943,1
4206,1
6371,1
232,1
8258,0
7561,0
6168,1
3596,0
6288,1
4632,0
125,1
7641,1
6229,0
1296,1
1976,1
8526,0
5750,1
8152,0
3086,0
8340,1
6882,0
8369,1
7673,0
3345,1
8172,0
8477,0
5870,0
6506,1
2797,0
918,0
1646,1
5122,1
5126,0
4621,1
6809,0
364,1
2125,1
8150,1
55,1
638,0
302,1
5811,1
1276,1
4432,0
3644,0
4143,1
2878,0
6493,1
5240,0
8464,1
6937,0
7240,0
2593,0
2393,0
523,1
6376,1
6981,1
6677,0
3900,1
8667,0
5585,0
8420,1
7956,1
7570,0
6777,1
671,0
4188,0
666,0
3266,0
1887,1
7687,1
6031,0
6090,1
6238,0
7350,0
7830,0
760,0
6254,0
1906,0
3818,0
6269,1
4300,0
5569,0
7941,0
4164,0
5971,1
3579,0
2832,1
5449,0
3472,0
6327,1
137,1
7043,0
4892,0
2180,0
7730,1
3177,0
4854,1
4637,0
5115,1
7648,0
4261,0
1331,1
7002,0
6941,1
8017,0
6241,0
8987,0
6881,1
4530,1
4673,0
6996,1
1252,0
3374,0
2814,1
4719,1
6544,0
4858,1
7901,0
1077,0
4363,1
770,1
249,1
7239,0
3419,0
4976,0
4544,1
5565,1
7939,0
716,1
8683,1
2048,1
5997,0
6600,0
7245,0
4178,1
4809,0
8528,1
7140,0
7190,0
1460,0
5989,0
2000,0
8175,1
404,0
384,0
8533,1
1633,1
8596,0
4784,1
8504,0
6970,0
3925,1
4158,0
7449,0
8415,1
2193,0
1015,1
5124,1
7418,1
7409,1
2871,1
9,1
1838,1
